# dataset=entso_e_eic_directory
# created_at=2026-08-13T01:15:13Z
# source=https://eepublicdownloads.blob.core.windows.net/cio-lio/xml/allocated-eic-codes.xml
# source_sha256=b53840e8e377b11d12c63241a6a06e68ee36c221897930dae97c0c6ff1903a98
# record_count=76256
# active_record_count=72916
# inactive_record_count=3340
eic_code	status
10T-SE-FI-00005D	active
10T-SE-FI-00006B	active
10T-SE-NO-00001C	active
10T-SE-NO-00002A	active
10T-SE-NO-000038	active
10T-SE-NO-000046	active
10T-SE-NO-000054	active
10T-SE-NO-000062	active
10T-SE-NO-000070	active
10T-SE-NO-00008Z	active
10T-SI-HR--10001	active
10T-SK-UA-00001W	active
10T1001A1001A012	active
10T1001A1001A020	active
10T1001A1001A03Z	active
10T1001A1001A04X	active
10T1001A1001A05V	active
10T1001A1001A06T	active
10T1001A1001A07R	active
10T1001A1001A08P	active
10T1001A1001A09N	active
10T1001A1001A101	active
10T1001A1001A110	active
10T1001A1001A12Y	active
10T1001A1001A13W	active
10T1001A1001A14U	active
10T1001A1001A15S	active
10T1001A1001A16Q	active
10T1001A1001A17O	active
10T1001A1001A18M	active
10T1001A1001A19K	active
10T1001A1001A20Z	active
10T1001A1001A21X	active
10T1001A1001A22V	active
10T1001A1001A23T	active
10T1001A1001A24R	active
10T1001C--00001F	active
10T1001C--00002D	active
10T1001C--00003B	active
10T1001C--000049	active
10T1001C--000057	active
10T1001C--000065	active
10T1001C--000073	active
10T1001C--000081	active
10T1001C--00010E	active
10T1001C--00011C	active
10T1001C--00012A	active
10T1001C--000138	active
10T1001C--000146	active
10T1001C--000154	active
10T1001C--000162	active
10T1001C--000170	active
10T1001C--00018Z	active
10T1001C--00019X	active
10T1001C--00020B	inactive
10T1001C--000219	inactive
10T1001C--000227	active
10T1001C--000235	active
10T1001C--000243	active
10T1001C--000251	active
10T1001C--00027Y	active
10T1001C--00029U	active
10T1001C--000308	active
10T1001C--000316	active
10T1001C--000324	active
10T1001C--000332	active
