# source=https://www.bundesbank.de/resource/blob/926192/b27b518a016ea7ca7af321eb7289fcf4/472B63F073F071307366337C94F8C870/blz-aktuell-csv-data.csv
# source_sha256=3a5484358b326d6d9ed8bea003601a7d79abbc100cdb81fd0d30e0c8a21898a6
# valid_from=2026-06-08
# valid_to=2026-09-06
# synthetic_non_routable_bank_code=00000000
bank_code,bic,change_marker,deletion_flag,successor_bank_code
20730067,HYVEDEMME67,U,0,00000000
20730068,HYVEDEMME68,U,0,00000000
20730069,HYVEDEMME69,U,0,00000000
20730070,HYVEDEMME70,U,0,00000000
20730071,HYVEDEMME71,U,0,00000000
20730072,HYVEDEMME72,U,0,00000000
20730073,HYVEDEMME73,U,0,00000000
20730074,HYVEDEMME74,U,0,00000000
20730075,HYVEDEMME75,U,0,00000000
20730076,HYVEDEMME76,U,0,00000000
20730077,HYVEDEMME77,U,0,00000000
20730078,HYVEDEMME78,U,0,00000000
20730079,HYVEDEMME79,U,0,00000000
20730080,HYVEDEMME80,U,0,00000000
20730081,HYVEDEMME81,U,0,00000000
20730082,HYVEDEMME82,U,0,00000000
20730083,HYVEDEMME83,U,0,00000000
20730084,HYVEDEMME84,U,0,00000000
20730085,HYVEDEMME85,U,0,00000000
20730086,HYVEDEMME86,U,0,00000000
20730087,HYVEDEMME87,U,0,00000000
20730088,HYVEDEMME88,U,0,00000000
20730089,HYVEDEMME89,U,0,00000000
20730090,HYVEDEMME90,U,0,00000000
20730091,HYVEDEMME91,U,0,00000000
20730092,HYVEDEMME92,U,0,00000000
20730093,HYVEDEMME93,U,0,00000000
20730094,HYVEDEMME94,U,0,00000000
20730095,HYVEDEMME95,U,0,00000000
20730096,HYVEDEMME96,U,0,00000000
20730097,HYVEDEMME97,U,0,00000000
20730098,HYVEDEMME98,U,0,00000000
20730099,HYVEDEMME99,U,0,00000000
20750000,NOLADE21HAM,U,0,00000000
21020600,SYBKDE22KIE,U,0,00000000
21040010,COBADEFFXXX,U,0,00000000
21042076,COBADEFFXXX,U,0,00000000
21050000,HSHNDEHHXXX,M,0,00000000
21050055,HHDBDEH2XXX,U,0,00000000
21050170,NOLADE21KIE,U,0,00000000
21051275,NOLADE21BOR,U,0,00000000
21051580,NOLADE21PLN,U,0,00000000
21052090,NOLADE21ECK,U,0,00000000
21070020,DEUTDEHH210,U,0,00000000
21070024,DEUTDEDB210,U,0,00000000
21080050,DRESDEFF210,U,0,00000000
21089201,DRESDEFFI07,U,0,00000000
21090007,GENODEF1KIL,U,0,00000000
21090099,GENODEF1KIL,U,0,00000000
21090900,GENODEF1P11,U,0,00000000
21092023,GENODEF1EFO,U,0,00000000
21240040,COBADEFFXXX,U,0,00000000
21241540,COBADEFFXXX,U,0,00000000
21270020,DEUTDEHH212,U,0,00000000
21270024,DEUTDEDB212,U,0,00000000
21280002,DRESDEFF212,U,0,00000000
21290016,GENODEF1NMS,U,0,00000000
21340010,COBADEFFXXX,U,0,00000000
21352240,NOLADE21HOL,U,0,00000000
21390008,GENODEF1NSH,U,0,00000000
21392218,GENODEF1EUT,U,0,00000000
21440045,COBADEFFXXX,U,0,00000000
21450000,NOLADE21RDB,U,0,00000000
21451205,NOLADE21BDF,U,0,00000000
21452030,NOLADE21HWS,U,0,00000000
21463603,GENODEF1NTO,U,0,00000000
21464671,GENODEF1TOB,U,0,00000000
21480003,DRESDEFF214,U,0,00000000
21510600,SYBKDE22XXX,U,0,00000000
21520100,UNBNDE21XXX,U,0,00000000
21540060,COBADEFFXXX,U,0,00000000
21565316,GENODEF1HDW,U,0,00000000
21570011,DEUTDEHH215,U,0,00000000
21570024,DEUTDEDB215,U,0,00000000
21570202,DEUTDEHHP01,U,0,00000000
21570224,DEUTDEDBP01,U,0,00000000
21580000,DRESDEFF215,U,0,00000000
21661719,GENODEF1RSL,U,0,00000000
21690020,GENODEF1SLW,U,0,00000000
21740043,COBADEFFXXX,U,0,00000000
21741674,COBADEFFXXX,U,0,00000000
21741825,COBADEFFXXX,U,0,00000000
21750000,NOLADE21NOS,U,0,00000000
21751230,NOLADE21BRD,U,0,00000000
21762550,GENODEF1HUM,U,0,00000000
21763542,GENODEF1BDS,U,0,00000000
21770011,DEUTDEHH217,U,0,00000000
21770024,DEUTDEDB217,U,0,00000000
21791805,GENODEF1SYL,U,0,00000000
21791906,GENODEF1WYK,U,0,00000000
21840078,COBADEFFXXX,U,0,00000000
21841328,COBADEFFXXX,U,0,00000000
21852310,NOLADE21WEB,U,0,00000000
21860418,GENODEF1RHE,U,0,00000000
21890022,GENODEF1DVR,U,0,00000000
22140028,COBADEFFXXX,U,0,00000000
22141028,COBADEFFXXX,U,0,00000000
22141428,COBADEFFXXX,U,0,00000000
22141628,COBADEFFXXX,U,0,00000000
22150000,NOLADE21ELH,U,0,00000000
22151730,NOLADE21WED,U,0,00000000
22163114,GENODEF1HTE,U,0,00000000
22180000,DRESDEFF221,U,0,00000000
22181400,DRESDEFF206,U,0,00000000
22190030,GENODEF1ELM,U,0,00000000
22191405,GENODEF1PIN,U,0,00000000
22240073,COBADEFFXXX,U,0,00000000
22250020,NOLADE21WHO,U,0,00000000
22280000,DRESDEFF201,U,0,00000000
22290031,GENODEF1VIT,U,0,00000000
23040022,COBADEFFXXX,U,0,00000000
23050101,NOLADE21SPL,U,0,00000000
23051030,NOLADE21SHO,U,0,00000000
23052750,NOLADE21RZB,U,0,00000000
